IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.117.216,2095,2095,FALSE,JP,Asia Pacific,Tokyo,80,11.97
138.3.218.160,2095,2095,FALSE,JP,Asia Pacific,Tokyo,83,11.96
152.70.63.181,443,443,TRUE,DE,Europe,DEnkfurt,160,11.95
140.238.46.138,2095,2095,FALSE,JP,Asia Pacific,Tokyo,86,11.94
168.138.212.74,2086,2086,FALSE,JP,Asia Pacific,Tokyo,84,11.94
155.248.160.116,2096,2096,TRUE,JP,Asia Pacific,Tokyo,102,11.94
138.3.220.4,8080,8080,FALSE,JP,Asia Pacific,Tokyo,84,11.94
168.138.205.195,80,80,FALSE,JP,Asia Pacific,Tokyo,73,11.93
158.101.70.155,8880,8880,FALSE,JP,Asia Pacific,Tokyo,75,11.93
158.179.189.235,8080,8080,FALSE,JP,Asia Pacific,Tokyo,75,11.92
158.101.65.24,2095,2095,FALSE,JP,Asia Pacific,Tokyo,72,11.92
158.101.150.126,8443,8443,TRUE,JP,Asia Pacific,Tokyo,134,11.91
168.138.205.38,2086,2086,FALSE,JP,Asia Pacific,Tokyo,78,11.91
168.138.205.38,8880,8880,FALSE,JP,Asia Pacific,Tokyo,69,11.9
132.145.115.17,8080,8080,FALSE,JP,Asia Pacific,Tokyo,88,11.89
131.186.63.127,8443,8443,TRUE,JP,Asia Pacific,Tokyo,83,11.89
158.101.149.81,8880,8880,FALSE,JP,Asia Pacific,Tokyo,83,11.89
131.186.60.162,2052,2052,FALSE,JP,Asia Pacific,Tokyo,70,11.89
132.145.112.168,8080,8080,FALSE,JP,Asia Pacific,Tokyo,78,11.89
132.145.112.168,2052,2052,FALSE,JP,Asia Pacific,Tokyo,71,11.88
158.101.146.165,8080,8080,FALSE,JP,Asia Pacific,Tokyo,69,11.88
138.3.223.50,8080,8080,FALSE,JP,Asia Pacific,Tokyo,72,11.87
158.101.155.246,2087,2087,TRUE,JP,Asia Pacific,Tokyo,71,11.87
140.238.39.87,2095,2095,FALSE,JP,Asia Pacific,Tokyo,67,11.86
158.101.143.49,2095,2095,FALSE,JP,Asia Pacific,Tokyo,82,11.86
151.145.68.166,2087,2087,TRUE,JP,Asia Pacific,Tokyo,71,11.86
158.101.142.103,2095,2095,FALSE,JP,Asia Pacific,Tokyo,81,11.86
168.138.198.53,2086,2086,FALSE,JP,Asia Pacific,Tokyo,75,11.86
151.145.65.8,2083,2083,TRUE,JP,Asia Pacific,Tokyo,103,11.85
