47.236.123.133:2087#SG 新加坡1
8.219.124.227:8443#SG 新加坡2
8.219.101.72:2053#SG 新加坡3
47.236.104.98:2053#SG 新加坡4
8.219.101.72:2087#SG 新加坡5
8.219.124.227:2096#SG 新加坡6
8.219.73.21:2087#SG 新加坡7
47.236.104.98:8443#SG 新加坡8
8.219.175.127:2053#SG 新加坡9
47.236.144.156:2096#SG 新加坡10
47.236.169.15:2087#SG 新加坡11
8.219.107.199:8443#SG 新加坡12
47.236.167.231:2053#SG 新加坡13
47.236.180.51:2087#SG 新加坡14
47.236.164.215:443#SG 新加坡15
47.236.169.15:2053#SG 新加坡16
47.236.97.90:2053#SG 新加坡17
8.219.220.88:2083#SG 新加坡18
8.222.254.91:2087#SG 新加坡19
47.236.121.23:2096#SG 新加坡20
47.236.169.15:2083#SG 新加坡21
47.236.149.107:2087#SG 新加坡22
47.236.164.215:2096#SG 新加坡23
47.236.164.215:443#SG 新加坡24
47.236.167.231:2096#SG 新加坡25
47.236.168.17:2053#SG 新加坡26
47.236.104.98:8443#SG 新加坡27
47.236.254.120:2083#SG 新加坡28
47.236.11.84:2096#SG 新加坡29 
47.236.180.51:2096#SG 新加坡30
8.219.67.133:8443#SG 新加坡31
8.219.103.57:2053#SG 新加坡32
47.236.75.113:2083#SG 新加坡33
47.236.104.98:443#SG 新加坡34
47.236.202.91:2083#SG 新加坡35
8.219.152.195:8443#SG 新加坡36
8.219.107.199:2053#SG 新加坡37
8.222.254.91:8443#SG 新加坡38
47.236.172.95:2053#SG 新加坡39
8.219.101.72:2087#SG 新加坡40
47.236.116.26:2096#SG 新加坡41
47.236.11.84:2053#SG 新加坡42
8.222.254.91:8443#SG 新加坡43
47.236.117.48:443#SG 新加坡44
47.236.253.41:2096#SG 新加坡45
8.222.208.83:8443#SG 新加坡46
47.236.5.223:2083#SG 新加坡47
47.236.172.71:2087#SG 新加坡48
47.236.164.215:8443#SG 新加坡49
8.222.254.91:2083#SG 新加坡50
47.236.87.246:8443#SG 新加坡51
47.236.97.90:2053#SG 新加坡52
47.236.164.215:8443#SG 新加坡53
8.222.254.91:8443#SG 新加坡54
8.219.103.57:2087#SG 新加坡55
8.219.103.57:2087#SG 新加坡56
